pagerank,degree_centrality,community_id,relationship_count,report_count,neighbor_risk_ratio
0.5747240713084174,18,3,18,16,0.8898455001363846
0.7081100947678922,22,3,22,11,0.5290418060840998
0.869705687464961,7,3,7,3,0.5102922471479012
0.9319459112971965,15,2,15,9,0.6061695553391381
0.4590949803242603,24,1,24,15,0.6521211214797689
0.6648538589793427,15,1,15,9,0.645614570099021
0.7171117368334277,13,3,13,9,0.728034992108518
0.8211055768358081,22,3,22,21,0.9916154429033941
0.630057735948788,8,3,8,6,0.8401537692938899
0.6202995511817258,21,1,21,20,0.9828160165372797
0.8350384088698766,12,2,12,6,0.5488360570031919
0.760539815907294,18,3,18,14,0.8049983288913105
0.8499169470416985,6,2,6,4,0.6955303037866204
0.4593416526728374,7,2,7,4,0.7125779372456224
0.4747649977209133,7,2,7,3,0.5156566462277793
0.8553708647569991,15,2,15,10,0.6975751180009072
0.9059953194762764,19,3,19,10,0.5442462510259598
0.4675897174514871,11,1,11,7,0.6943386448447411
0.5128094190643375,24,2,24,23,0.982627653632069
0.7142205486120108,16,1,16,10,0.6481367528520412
0.44916016343780146,10,1,10,8,0.8861223846483287
0.4692294089205034,14,3,14,11,0.8534286719238086
0.7874043008245923,4,3,4,2,0.5370223258670452
0.5650794371265635,12,3,12,11,0.9250192888948996
0.619670404482922,4,3,4,2,0.6554911608578311
0.5451099932160481,6,2,6,5,0.9436063712881633
0.6333289550971695,8,3,8,6,0.8566223936114975
0.8064710291701385,17,3,17,8,0.5202167947692157
0.7763977338114725,13,1,13,7,0.6008596011676981
0.8874581574041116,20,1,20,15,0.7542853455823514
0.8945398843556558,10,1,10,7,0.7699205456508366
0.47183673484086164,16,3,16,10,0.6448757264568841
0.4467327723524026,5,2,5,4,0.9040601897822085
0.7300422539062541,9,2,9,8,0.9416401294594341
0.5446070126031644,10,2,10,5,0.5550259622638384
0.48676109752516494,23,1,23,21,0.9303652916281717
0.3541712783187144,11,3,11,7,0.7087055015743895
0.4832646862824381,22,2,22,14,0.668807585701814
0.9157458223475115,12,1,12,6,0.5324461235544908
0.5023492483606068,15,2,15,12,0.8481521364198942
0.7773623539546652,8,1,8,7,0.9988702425244709
0.510068608565171,5,2,5,3,0.7055185066591156
0.36983043974032903,4,1,4,2,0.6197809453334862
0.4369369232547338,15,2,15,14,0.9928252270553004
0.4952331629069002,7,3,7,6,0.8808098076643588
0.49258252639543976,9,1,9,7,0.8161529152967897
0.7301178264565368,14,3,14,7,0.5451448850272042
0.8511814973535428,9,1,9,8,0.9291794024068599
0.5455753431211308,7,3,7,5,0.855574766219009
0.8357006276838292,23,3,23,13,0.5871832145024958
0.7645626428614796,10,2,10,9,0.918855052953664
0.7554140702235683,21,3,21,16,0.770723986913783
0.7674706396070492,10,2,10,9,0.9910841716647179
0.6599815347626086,20,2,20,19,0.9981268498789622
0.9292516107732761,8,1,8,7,0.9413181715946699
0.4632242650048276,12,3,12,10,0.8501789149863856
0.8579966853429835,23,2,23,20,0.8899377729288119
0.7352189876925725,14,1,14,8,0.5808143570473069
0.8891325131162475,23,2,23,11,0.5045985258083148
0.41088292571961926,6,1,6,3,0.5025307919231093
0.44648483085049917,21,2,21,17,0.8459475988463466
0.7411767557015603,12,1,12,6,0.5090376818077604
0.6463362291100607,19,3,19,16,0.8604699621260646
0.5348364751114335,19,3,19,12,0.6838579015297168
0.5091214206090352,17,2,17,16,0.9865052773762228
0.5858586348000562,11,3,11,7,0.7171971827552144
0.5600470446168053,4,3,4,2,0.746258846909432
0.46714579267882667,19,3,19,14,0.7860020996045916
0.8111324085837853,20,2,20,19,0.9769642885012937
0.898918634132269,6,1,6,5,0.9765359235119766
0.5484501828023082,17,1,17,13,0.7861462345854191
0.9381989502296274,23,3,23,15,0.652848509643591
0.4645466186902076,4,3,4,2,0.5847463733430462
0.6840807574750101,6,2,6,3,0.5485882468853842
0.7190043360195018,5,3,5,3,0.7591648261818684
0.8764238431567732,20,1,20,11,0.5683106657210144
0.7753465981460712,10,1,10,6,0.6482550718238993
0.6018685138677659,21,1,21,16,0.8057568554328403
0.39895650824014417,10,1,10,8,0.813947207474318
0.46656437210722534,11,2,11,9,0.8978963347180505
0.8840032050905398,18,2,18,9,0.5469909699204345
0.6969680845977044,22,1,22,12,0.5775208083638721
0.9391045329863186,20,2,20,18,0.9113002803298291
0.5661143848467577,8,1,8,7,0.9139345018937943
0.5129257494918451,15,1,15,10,0.7286325808068643
0.8552138450071888,23,2,23,17,0.7703175608050532
0.7324579408989239,23,1,23,22,0.9847684335570794
0.7787570625079712,22,1,22,15,0.6994104507223973
0.6101124425484452,8,2,8,7,0.9813242073389625
0.8515880723073235,12,1,12,6,0.5290967977542218
0.8991282365758883,18,2,18,11,0.6198936795787016
0.406323974048775,11,1,11,7,0.6399669484729714
0.9229191683979164,10,3,10,7,0.7178364493389455
0.7880235899370911,6,2,6,4,0.6779863393256308
0.8047076662786214,17,1,17,9,0.5470784941342801
0.5368479856347765,23,1,23,16,0.7370869145436626
0.40870049639060085,19,1,19,13,0.7367358853902828
0.4539211219460091,8,3,8,4,0.5240294620985169
0.9194874389548315,7,2,7,4,0.630446811670857
0.3591827241742308,22,2,22,16,0.7505199419576296
0.6736264690400375,16,3,16,15,0.9721257985625837
0.8703193601330023,23,2,23,18,0.7866835208359666
0.4271002119403461,22,3,22,21,0.9707324043882626
0.5816615826804645,4,2,4,2,0.6033421799383727
0.5143766763926803,15,3,15,10,0.6886295416139879
0.37337787938614014,21,3,21,14,0.6682771074443632
0.7434335812284453,13,2,13,8,0.67031228473212
0.5064167169415419,10,2,10,8,0.8483685826820753
0.7273657080679303,7,1,7,6,0.9017404651924243
0.5192207435427838,13,1,13,11,0.8753073758204292
